,0
0,http://gmpg.org/xfn/11
1,https://songsofshailendra.com/xmlrpc.php
2,//s0.wp.com
3,//s1.wp.com
4,//s2.wp.com
5,//songsofshailendra.wordpress.com
6,//s.pubmine.com
7,//x.bidswitch.net
8,//static.criteo.net
9,//ib.adnxs.com
10,//aax.amazon-adsystem.com
11,//bidder.criteo.com
12,//cas.criteo.com
13,//gum.criteo.com
14,//ads.pubmatic.com
15,//gads.pubmatic.com
16,//tpc.googlesyndication.com
17,//ad.doubleclick.net
18,//googleads.g.doubleclick.net
19,//www.googletagservices.com
20,//cdn.switchadhub.com
21,//delivery.g.switchadhub.com
22,//delivery.swid.switchadhub.com
23,//a.teads.tv
24,//prebid.media.net
25,//adserver-us.adtech.advertising.com
26,//fastlane.rubiconproject.com
27,//prebid-server.rubiconproject.com
28,//hb-api.omnitagjs.com
29,//mtrx.go.sonobi.com
30,//apex.go.sonobi.com
31,//u.openx.net
32,https://fonts.gstatic.com
33,https://songsofshailendra.com/feed/
34,https://songsofshailendra.com/comments/feed/
35,https://songsofshailendra.com/2013/08/27/shailendra-all-songs-listing/feed/
36,https://s0.wp.com/_static/??-eJylU9tuwyAM/aERq1077WXap0wEPEbLTWDS5e/nZG2atutF2gviYJ/DwTawS0LFQBgIfBXJVWNDgV1S0YvircP+DDWqlCeY0VoXzZEYs5a6gHGxle6xXPpCH3OwwchPwiy65QVvbs1qg1QAK0fj1qJwcgeEPjlJWKBQ7/CWwAYpSbXdY0g56qrIxgCed44lMg5SWqRY6AzdEnZ2i0f5EV2kH3JNZdhiNhzJCN1i3aybBbTVOj1UaRRos8z9fx60j3x0GHTMICtFL4msmjid1RhTxlJO7kZtiQkjKDAm8Yq7yYYNylU9PLeA52yJDv3oawa4Iz3306GRqm+8DffpHJvjE9L1Gu59TqWXfawkTLb6SvXuSmRJPI/n0zTZ5gNQTpZilRjGlzv9l9NZk4Y287lP8vKRD0z7cOHvXhB+36aMv7Vtx64KXr2t/uCSee/+bfHyunhePi9Xq80Ps9SFFg==&cssminify=yes
37,https://s0.wp.com/wp-content/themes/pub/themorningafter/style.css?m=1466193041h&cssminify=yes
38,https://s2.wp.com/wp-content/themes/pub/themorningafter/inc/style-wpcom.css?ver=6.2-RC2-55570
39,https://s1.wp.com/_static/??-eJzTLy/QTc7PK0nNK9HPLdUtyClNz8wr1k9PzdfNyU9OLMnMz0Ph6KblJGYW6SUXF+voY9dalJqUk58OZKbrA1UhcUGa7HNtDU1MLU1MLMwNTbIAmkQtqg==&cssminify=yes
40,https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes
41,https://s0.wp.com/_static/??-eJyVjUEKwjAQRS9kHAVb60I8isRJSFInM6GTULx9W3Ejrty9B5/3YS4GhavnCrmZQi0kVhh9LRafH4cyiWtYkzDklcgraLSTd9a51xsThz2q7uDf3j0xggomS4YkiH7JT7NGn9f3eIJA8rC0DW75euzPl+7QDUM/Lj+0TlE=&cssminify=yes
42,https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1663315160h&cssminify=yes
43,https://songsofshailendra.wordpress.com/xmlrpc.php?rsd
44,https://s1.wp.com/wp-includes/wlwmanifest.xml
45,https://songsofshailendra.com/2013/08/27/shailendra-all-songs-listing/
46,https://wp.me/p2HcJQ-ug
47,https://public-api.wordpress.com/oembed/?format=json&url=https%3A%2F%2Fsongsofshailendra.com%2F2013%2F08%2F27%2Fshailendra-all-songs-listing%2F&for=wpcom-auto-discovery
48,https://public-api.wordpress.com/oembed/?format=xml&url=https%3A%2F%2Fsongsofshailendra.com%2F2013%2F08%2F27%2Fshailendra-all-songs-listing%2F&for=wpcom-auto-discovery
49,https://s1.wp.com/i/favicon.ico
50,https://s1.wp.com/i/favicon.ico
51,https://s2.wp.com/i/webclip.png
52,https://songsofshailendra.com/?openidserver=1
53,https://songsofshailendra.com/
54,https://songsofshailendra.com/osd.xml
55,https://s1.wp.com/opensearch.xml
56,https://songsofshailendra.com/
57,https://songsofshailendra.wordpress.com/
58,https://songsofshailendra.com/about/
59,#
60,https://songsofshailendra.com/category/lyrics/
61,https://songsofshailendra.com/category/articles/
62,https://songsofshailendra.com/category/information/
63,https://songsofshailendra.com/category/websites/
64,#
65,#
66,https://songsofshailendra.wordpress.com/2013/08/
67,https://songsofshailendra.wordpress.com/2013/05/
68,https://songsofshailendra.wordpress.com/2013/04/
69,#
70,https://songsofshailendra.wordpress.com/2012/12/
71,https://songsofshailendra.wordpress.com/2012/09/
72,https://songsofshailendra.wordpress.com/2012/08/
73,#
74,https://songsofshailendra.com/category/awards/filmfare/
75,https://songsofshailendra.com/category/awards/national-award/
76,https://songsofshailendra.com/2013/08/27/shailendra-all-songs-listing/
77,#
78,https://songsofshailendra.com/2013/08/23/film-listing-by-year-of-release/
79,https://songsofshailendra.com/2013/08/23/film-listing-by-music-director/
80,#
81,https://songsofshailendra.com/category/1940s/
82,https://songsofshailendra.com/category/1950s/
83,https://songsofshailendra.com/category/1960s/
84,https://songsofshailendra.com/category/1970s/
85,#
86,https://songsofshailendra.com/category/music-directors/anil-biswas/
87,https://songsofshailendra.com/category/music-directors/c-ramchandra/
88,https://songsofshailendra.com/category/music-directors/kishore-kumar/
89,https://songsofshailendra.com/category/music-directors/ninu-mazumdar/
90,https://songsofshailendra.com/category/music-directors/ravi/
91,https://songsofshailendra.com/category/roshan/
92,https://songsofshailendra.com/category/salil-chowdhury/
93,https://songsofshailendra.com/category/sapan-jagmohan/
94,https://songsofshailendra.com/category/s-d-burman/
95,https://songsofshailendra.com/category/shankar-jaikishan/
96,#
97,https://songsofshailendra.com/category/c-h-atma/
98,https://songsofshailendra.com/category/singers/geeta/
99,https://songsofshailendra.com/category/kishore/
100,https://songsofshailendra.com/category/singers/lata/
101,https://songsofshailendra.com/category/mahendra/
102,https://songsofshailendra.com/category/manna-dey/
103,https://songsofshailendra.com/category/meena-kapoor/
104,https://songsofshailendra.com/category/singers/mukesh/
105,https://songsofshailendra.com/category/rafi/
106,https://songsofshailendra.com/category/singers/s-d-burman-singers/
107,https://songsofshailendra.com/category/singers/sudha-malhotra/
108,https://songsofshailendra.com/category/singers/suman/
109,https://songsofshailendra.com/category/talat/
110,https://songsofshailendra.com/category/song-compilations/
111,https://songsofshailendra.com/category/film-song-compilation/
112,https://songsofshailendra.com/2013/12/20/film-song-compilations-audio-1940s/
113,https://songsofshailendra.com/2013/12/20/film-song-compilations-audio-1950s/
114,https://songsofshailendra.com/2013/12/20/film-song-compilations-audio-1956-1960/
115,https://songsofshailendra.com/2013/12/20/film-song-compilations-audio-1961-1965/
116,https://songsofshailendra.com/2013/08/28/compilation-30-favorite-songs/
117,https://songsofshailendra.com/2013/12/14/songs-of-shailendra-a-compilation-of-theme-title-songs/
118,http://www.youtube.com/user/songsofshailendra/videos
119,https://songsofshailendra.com/feed/
120,https://songsofshailendra.com/category/uncategorized/
121,https://songsofshailendra.com/author/songsofshailendra/
122,https://songsofshailendra.com/2013/08/27/shailendra-all-songs-listing/#comments
123,https://songsofshailendra.com/tag/all-songs/
124,https://songsofshailendra.com/tag/listing/
125,https://songsofshailendra.com/tag/shailendra/
126,https://songsofshailendra.com/tag/songs-of-shailendra/
127,https://songsofshailendra.wordpress.com/2013/04/06/1949-barsaat-patli-kamar-hai-tirchhi-najar-hai/
128,https://songsofshailendra.wordpress.com/2013/04/17/%e0%a5%a7%e0%a5%af%e0%a5%aa%e0%a5%af-%e0%a4%ac%e0%a4%b0%e0%a4%b8%e0%a4%be%e0%a4%a4-%e0%a4%ac%e0%a4%b0%e0%a4%b8%e0%a4%be%e0%a4%a4-%e0%a4%ae%e0%a5%87%e0%a4%82-%e0%a4%b9%e0%a4%ae%e0%a4%b8%e0%a5%87/
129,https://songsofshailendra.wordpress.com/2013/04/06/1951-awara-awara-huun/
130,https://songsofshailendra.com/2013/08/22/%e0%a5%a7%e0%a5%af%e0%a5%ab%e0%a5%a7-%e0%a4%86%e0%a4%b5%e0%a4%be%e0%a4%b0%e0%a4%be-%e0%a4%8f%e0%a4%95-%e0%a4%a6%e0%a5%8b-%e0%a4%a4%e0%a5%80%e0%a4%a8-%e0%a4%86%e0%a4%9c%e0%a4%be-%e0%a4%ae%e0%a5%8c/
131,https://songsofshailendra.com/2013/08/22/%e0%a5%a7%e0%a5%af%e0%a5%ab%e0%a5%a7-%e0%a4%86%e0%a4%b5%e0%a4%be%e0%a4%b0%e0%a4%be-%e0%a4%98%e0%a4%b0-%e0%a4%86%e0%a4%af%e0%a4%be-%e0%a4%ae%e0%a5%87%e0%a4%b0%e0%a4%be-%e0%a4%aa%e0%a4%b0%e0%a4%a6/
